"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2026-01-12,"15:04:00","D5","TX",15.3
2026-01-12,"03:16:00","D5","TN",6.9
2026-01-12,NA,"D5","HRM",70
2026-01-12,"22:05:00","D5","HRX",93
2026-01-12,"14:03:00","D5","HRN",54
2026-01-12,NA,"D5","PM",972.2
2026-01-12,"00:13:00","D5","PX",974.3
2026-01-12,"23:56:00","D5","PN",970.4
2026-01-12,NA,"D5","PPT",0
2026-01-12,NA,"D5","RS24h",7.3
2026-01-12,NA,"D5","VVM10",5.7
2026-01-12,NA,"D5","DVM10",260
2026-01-12,"05:29:00","D5","VVX10",10.6
2026-01-12,"05:29:00","D5","DVVX10",270
2026-01-12,NA,"X4","TM",11.7
2026-01-12,"14:10:00","X4","TX",15.9
2026-01-12,"04:42:00","X4","TN",8.5
2026-01-12,NA,"X4","HRM",67
2026-01-12,"21:21:00","X4","HRX",85
2026-01-12,"12:00:00","X4","HRN",51
2026-01-12,NA,"X4","PM",1017.4
2026-01-12,"00:00:00","X4","PX",1020
2026-01-12,"23:56:00","X4","PN",1015.4
2026-01-12,NA,"X4","PPT",0
2026-01-12,NA,"X4","RS24h",7.4
2026-01-12,NA,"X4","VVM10",1.4
2026-01-12,NA,"X4","DVM10",251
2026-01-12,"16:17:00","X4","VVX10",6.9
2026-01-12,"16:17:00","X4","DVVX10",237
2026-01-12,NA,"X8","TM",10.8
2026-01-12,"13:53:00","X8","TX",15.8
2026-01-12,"07:31:00","X8","TN",6.5
2026-01-12,NA,"X8","HRM",72
2026-01-12,"20:52:00","X8","HRX",94
2026-01-12,"13:16:00","X8","HRN",49
2026-01-12,NA,"X8","PM",1011.8
2026-01-12,"00:17:00","X8","PX",1014.4
2026-01-12,"23:59:00","X8","PN",1009.7
2026-01-12,NA,"X8","PPT",0
2026-01-12,NA,"X8","RS24h",7.3
2026-01-12,NA,"X8","VVM10",1.7
2026-01-12,NA,"X8","DVM10",271
2026-01-12,"15:39:00","X8","VVX10",6.6
2026-01-12,"15:39:00","X8","DVVX10",238
2026-01-13,NA,"D5","TM",11.5
2026-01-13,"14:13:00","D5","TX",16.9
2026-01-13,"06:46:00","D5","TN",9.7
2026-01-13,NA,"D5","HRM",88
2026-01-13,"23:30:00","D5","HRX",100
2026-01-13,"14:05:00","D5","HRN",61
2026-01-13,NA,"D5","PM",968.8
2026-01-13,"00:04:00","D5","PX",970.5
2026-01-13,"15:16:00","D5","PN",967.3
2026-01-13,NA,"D5","PPT",0
2026-01-13,NA,"D5","RS24h",8
2026-01-13,NA,"D5","VVM10",3.4
2026-01-13,NA,"D5","DVM10",230
2026-01-13,"00:01:00","D5","VVX10",8.6
2026-01-13,"00:01:00","D5","DVVX10",259
2026-01-13,NA,"X4","TM",13.7
2026-01-13,"14:45:00","X4","TX",16.8
2026-01-13,"05:31:00","X4","TN",11.6
2026-01-13,NA,"X4","HRM",77
2026-01-13,"21:30:00","X4","HRX",100
2026-01-13,"13:35:00","X4","HRN",57
2026-01-13,NA,"X4","PM",1013.5
2026-01-13,"00:01:00","X4","PX",1015.5
2026-01-13,"15:01:00","X4","PN",1011.7
2026-01-13,NA,"X4","PPT",0
2026-01-13,NA,"X4","RS24h",8.4
2026-01-13,NA,"X4","VVM10",1.1
2026-01-13,NA,"X4","DVM10",207
2026-01-13,"13:31:00","X4","VVX10",6.1
2026-01-13,"13:31:00","X4","DVVX10",262
2026-01-13,NA,"X8","TM",12.9
2026-01-13,"13:33:00","X8","TX",17.1
2026-01-13,"23:44:00","X8","TN",10.8
2026-01-13,NA,"X8","HRM",83
2026-01-13,"23:32:00","X8","HRX",100
2026-01-13,"13:35:00","X8","HRN",59
2026-01-13,NA,"X8","PM",1007.9
2026-01-13,"00:01:00","X8","PX",1010
2026-01-13,"15:11:00","X8","PN",1006.1
2026-01-13,NA,"X8","PPT",0
2026-01-13,NA,"X8","RS24h",8.2
2026-01-13,NA,"X8","VVM10",1.1
2026-01-13,NA,"X8","DVM10",271
2026-01-13,"13:57:00","X8","VVX10",6.9
2026-01-13,"13:57:00","X8","DVVX10",208
2026-01-14,NA,"D5","TM",10.7
2026-01-14,"13:34:00","D5","TX",17
2026-01-14,"07:07:00","D5","TN",7.4
2026-01-14,NA,"D5","HRM",86
2026-01-14,"06:44:00","D5","HRX",100
2026-01-14,"13:35:00","D5","HRN",61
2026-01-14,NA,"D5","PM",969.3
2026-01-14,"10:16:00","D5","PX",970.4
2026-01-14,"05:06:00","D5","PN",968
2026-01-14,NA,"D5","PPT",0
2026-01-14,NA,"D5","RS24h",8.5
2026-01-14,NA,"D5","VVM10",3
2026-01-14,NA,"D5","DVM10",251
2026-01-14,"09:36:00","D5","VVX10",8.6
2026-01-14,"09:36:00","D5","DVVX10",263
2026-01-14,NA,"X4","TM",12.5
2026-01-14,"12:20:00","X4","TX",15.2
2026-01-14,"07:00:00","X4","TN",10.7
2026-01-14,NA,"X4","HRM",88
2026-01-14,"23:30:00","X4","HRX",100
2026-01-14,"12:19:00","X4","HRN",66
2026-01-14,NA,"X4","PM",1014.1
